photos,price_reduced_amount,description.sold_price,description.sqft,description.baths,description.garage,description.stories,description.beds,products.brand_name,description.type_townhomes,days_listed,n_amenities,n_high_amenities,age_yrs,n_rooms
1,40000.0,325000.0,4344.0,0.0,0.0,2.0,0.0,2,0,62,2.0,1.0,94,0.0
1,8000.0,258000.0,2457.0,2.0,0.0,1.0,4.0,3,0,126,2.0,1.0,46,6.0
1,10000.0,39900.0,1428.0,1.0,0.0,2.0,3.0,1,0,92,3.0,2.0,104,4.0
1,0.0,75000.0,999.0,2.0,0.0,1.0,3.0,1,0,30,5.0,1.0,60,5.0
1,0.0,615000.0,3529.0,4.0,3.0,1.0,4.0,1,0,72,7.0,3.0,10,8.0
1,0.0,388000.0,2569.0,3.0,2.0,2.0,4.0,1,0,51,8.0,4.0,18,7.0
1,0.0,1150000.0,3314.0,5.0,2.0,2.0,5.0,1,0,105,4.0,3.0,9,10.0
0,0.0,305000.0,1384.0,2.0,0.0,1.0,3.0,1,0,0,2.0,2.0,81,5.0
1,0.0,56000.0,881.0,1.0,0.0,1.0,2.0,2,0,20,2.0,1.0,58,3.0
1,0.0,75000.0,1537.0,2.0,2.0,1.0,3.0,1,0,54,0.0,0.0,51,5.0
1,0.0,148000.0,1092.0,2.0,1.0,1.0,3.0,2,0,67,3.0,1.0,35,5.0
1,0.0,105000.0,1630.5,0.0,0.0,1.0,0.0,1,0,34,1.0,1.0,52,0.0
1,0.0,445000.0,2147.0,2.0,2.0,1.0,3.0,2,0,35,6.0,2.0,13,5.0
1,0.0,410000.0,1630.5,0.0,0.0,1.0,0.0,1,0,708,0.0,0.0,52,0.0
1,50000.0,1206000.0,4408.0,5.0,3.0,2.0,5.0,1,0,568,8.0,6.0,21,10.0
1,50000.0,330000.0,1630.5,0.0,0.0,1.0,0.0,1,0,2237,2.0,2.0,52,0.0
1,5100.0,415000.0,1994.0,2.0,2.0,1.0,3.0,1,0,145,5.0,3.0,50,5.0
1,5000.0,200000.0,655.0,1.0,0.0,2.0,1.0,1,0,247,4.0,2.0,41,2.0
1,40000.0,1900000.0,1630.5,0.0,0.0,1.0,0.0,2,0,113,1.0,0.0,74,0.0
1,0.0,359900.0,1576.0,2.0,0.0,1.0,3.0,1,0,57,3.0,1.0,56,5.0
1,8000.0,186000.0,725.0,1.0,0.0,1.0,1.0,1,0,77,6.0,3.0,42,2.0
1,0.0,675000.0,1544.0,1.0,1.0,1.0,2.0,1,0,25,3.0,2.0,93,3.0
1,0.0,1701500.0,2903.0,3.0,2.0,1.0,3.0,1,0,46,5.0,4.0,46,6.0
1,16000.0,525000.0,2110.0,2.0,2.0,1.0,3.0,1,0,53,8.0,5.0,43,5.0
1,0.0,385000.0,1215.0,2.0,2.0,1.0,3.0,1,0,36,4.0,1.0,50,5.0
1,0.0,1038712.0,2700.0,3.0,2.0,1.0,4.0,1,0,47,7.0,3.0,68,7.0
1,0.0,690000.0,3135.0,4.0,3.0,2.0,4.0,2,0,46,5.0,4.0,18,8.0
1,0.0,498000.0,1350.0,2.0,2.0,1.0,3.0,1,0,47,6.0,2.0,30,5.0
1,0.0,500000.0,1650.0,2.0,2.0,1.0,3.0,2,0,49,3.0,1.0,30,5.0
1,16000.0,340000.0,1156.0,2.0,2.0,1.0,2.0,1,0,126,2.0,1.0,44,4.0
1,4000.0,345000.0,1411.0,2.0,0.0,1.0,4.0,1,0,118,3.0,1.0,67,6.0
1,2000.0,28000.0,768.0,1.0,0.0,1.0,2.0,1,0,95,6.0,2.0,56,3.0
